x	y	part
582952	132165	VS
583073	131951	VS
583133	131761	VS
583178	131566	VS
583239	131216	VS
583249	131101	VS
583280	130921	VS
583500	130837	VS
583635	130782	VS
583865	130707	VS
584161	130663	VS
584406	130643	VS
584651	130674	VS
584901	130719	VS
585151	130780	VS
585440	130850	VS
585765	130881	VS
586176	130872	VS
586381	130847	VS
586691	130832	VS
586976	130833	VS
587261	130814	VS
587561	130834	VS
587886	130920	VS
588136	131040	VS
588486	131091	VS
588841	131126	VS
589141	131132	VS
589396	131147	VS
589686	131223	VS
589925	131343	VS
590055	131454	VS
590205	131614	VS
590314	131794	VS
590444	131969	VS
590469	132154	VS
590464	132239	VS
590478	132459	VS
590638	132499	VS
590758	132505	VS
590943	132535	VS
591178	132590	VS
591373	132651	VS
591593	132741	VS
591718	132821	VS
591858	132837	VS
592033	132837	VS
592168	132857	VS
592337	132943	VS
592637	133093	VS
592912	133184	VS
593097	133254	VS
593297	133289	VS
593502	133325	VS
593727	133405	VS
593827	133485	VS
593961	133590	VS
594106	133701	VS
594201	133751	VS
594326	133821	VS
594471	133881	VS
594656	133942	VS
594811	134042	VS
594985	134157	VS
595195	134268	VS
595360	134368	VS
595505	134473	VS
595600	134588	VS
595709	134728	VS
595774	134859	VS
595834	135034	VS
595873	135164	VS
596067	135316	VS
596197	135401	VS
596367	135522	VS
596586	135647	VS
596811	135717	VS
597046	135768	VS
597281	135833	VS
597486	135894	VS
597671	135929	VS
597841	136029	VS
598050	136195	VS
598185	136330	VS
598345	136430	VS
598510	136465	VS
598750	136476	VS
598985	136456	VS
599120	136456	VS
599275	136557	VS
599434	136712	VS
599619	136882	VS
599969	136963	VS
600174	136948	VS
600444	136854	VS
600735	136704	VS
600960	136595	VS
601205	136475	VS
601436	136371	VS
601656	136311	VS
601826	136291	VS
602121	136322	VS
602231	136322	VS
602441	136317	VS
602651	136313	VS
602791	136313	VS
602956	136308	VS
603196	136289	VS
603326	136219	VS
603332	135919	VS
603372	135834	VS
603498	135659	VS
603588	135595	VS
603738	135530	VS
603943	135475	VS
604153	135451	VS
604358	135426	VS
604463	135391	VS
604643	135326	VS
604918	135497	VS
605008	135647	VS
605058	135777	VS
605177	135917	VS
605327	136043	VS
605467	136043	VS
605707	136033	VS
605997	136004	VS
606357	135999	VS
606677	135990	VS
606942	136020	VS
607272	136061	VS
607547	136121	VS
607852	136212	VS
607922	136302	VS
608042	136432	VS
608171	136547	VS
608406	136728	VS
608596	136793	VS
608771	136753	VS
608936	136664	VS
609142	136569	VS
609312	136594	VS
609456	136625	VS
609631	136665	VS
609606	136765	VS
609406	137020	VS
609290	137169	VS
609165	137349	VS
608934	137574	VS
608784	137718	VS
608634	137858	VS
608513	137963	VS
608318	138072	VS
608138	138122	VS
607943	138172	VS
607642	138271	VS
607482	138361	VS
607407	138426	VS
607237	138610	VS
607036	138710	VS
607036	138935	VS
607105	139175	VS
607200	139410	VS
607304	139605	VS
607404	139785	VS
607579	139896	VS
607794	139901	VS
607974	139901	VS
608254	139967	VS
608479	140042	VS
608729	140068	VS
608904	140098	VS
609169	140113	VS
609394	140084	VS
609644	140044	VS
609889	139965	VS
610089	139960	VS
610464	140031	VS
610709	140146	VS
610939	140221	VS
611079	140257	VS
611304	140252	VS
611524	140168	VS
611769	140058	VS
612009	140008	VS
612184	140149	VS
612349	140304	VS
612474	140319	VS
612564	140359	VS
612774	140435	VS
613128	140520	VS
613373	140631	VS
613568	140763	VS
613618	140812	VS
613861	140927	VS
614241	141009	VS
614532	141117	VS
614884	141368	VS
615182	141388	VS
615480	141422	VS
615995	141517	VS
616191	141340	VS
616300	140683	VS
616500	140216	VS
616555	140182	VS
616840	140127	VS
617125	140153	VS
617330	140153	VS
617510	140163	VS
617795	140184	VS
618010	140369	VS
618219	140484	VS
618474	140615	VS
618749	140815	VS
618933	140986	VS
619098	141186	VS
619332	141456	VS
619467	141491	VS
619637	141497	VS
619668	141392	VS
619828	141222	VS
619993	141057	VS
620199	140838	VS
620409	140663	VS
620560	140524	VS
620665	140399	VS
620916	140174	VS
621000	140289	VS
621110	140405	VS
621275	140600	VS
621409	140710	VS
621484	140770	VS
621719	140981	VS
621939	141086	VS
622144	141141	VS
622394	141217	VS
622708	141297	VS
622818	141392	VS
622913	141428	VS
623118	141503	VS
623238	141568	VS
623397	141788	VS
623472	141968	VS
623627	141979	VS
623762	142009	VS
623867	142064	VS
623977	142144	VS
624171	142280	VS
624291	142385	VS
624416	142495	VS
624566	142620	VS
624711	142745	VS
624850	142876	VS
625005	143006	VS
625140	143076	VS
625275	143156	VS
625399	143267	VS
625574	143332	VS
625744	143477	VS
625824	143617	VS
625879	143682	VS
625978	143797	VS
626198	144033	VS
626328	144168	VS
626502	144263	VS
626717	144404	VS
626922	144564	VS
627141	144739	VS
627286	144864	VS
627561	145060	VS
627750	145255	VS
627895	145345	VS
628115	145451	VS
628375	145566	VS
628680	145687	VS
628804	145762	VS
629044	145877	VS
629264	145973	VS
629374	146063	VS
629703	146353	VS
629793	146509	VS
629938	146629	VS
630013	146719	VS
630182	146819	VS
630257	146864	VS
630347	146949	VS
630497	147065	VS
630657	147160	VS
630786	147260	VS
630986	147405	VS
631146	147496	VS
631236	147551	VS
631361	147586	VS
631471	147586	VS
631621	147472	VS
631776	147467	VS
632091	147477	VS
632371	147483	VS
632611	147488	VS
632936	147509	VS
633141	147509	VS
633301	147500	VS
633396	147505	VS
633586	147555	VS
633711	147585	VS
633871	147670	VS
633961	147706	VS
634111	147766	VS
634261	147851	VS
634371	147946	VS
634705	148072	VS
634885	148032	VS
634971	147997	VS
