#LIST of BDM IBCH TAXA															
speciesID	name_BDM	family	class	order	grazer_scraper	miner	xylophagous	shredder	gatherer_collector	active_filter_feeder	passive_filter_feeder	predator	parasite	other	SUM
39	IBCH	Calopterygidae	Insecta	Odonata	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
40	IBCH	Coenagrionidae	Insecta	Odonata	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
41	IBCH	Cordulegasteridae	Insecta	Odonata	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
43	IBCH	Gomphidae	Insecta	Odonata	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
46	IBCH	Platycnemididae	Insecta	Odonata	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
47	IBCH	Aphelocheiridae	Insecta	Heteroptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
48	IBCH	Corixidae	Insecta	Heteroptera	0.288	0.000	0.000	0.000	7.250	0.000	0.192	2.269	0.000	0.000	10.000
49	IBCH	Gerridae	Insecta	Heteroptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
52	IBCH	Mesoveliidae	Insecta	Heteroptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
55	IBCH	Notonectidae	Insecta	Heteroptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
57	IBCH	Veliidae	Insecta	Heteroptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
58	IBCH	Sialidae	Insecta	Megaloptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
59	IBCH	Osmylidae	Insecta	Planipennia	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
62	IBCH	Chrysomelidae	Insecta	Coleoptera	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
63	IBCH	Dryopidae	Insecta	Coleoptera	4.778	0.000	0.000	1.667	3.556	0.000	0.000	0.000	0.000	0.000	10.000
64	IBCH	Dytiscidae	Insecta	Coleoptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.719	0.000	0.281	10.000
65	IBCH	Elmidae	Insecta	Coleoptera	7.282	0.000	1.026	0.051	1.641	0.000	0.000	0.000	0.000	0.000	10.000
66	IBCH	Gyrinidae	Insecta	Coleoptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.481	0.000	0.519	10.000
67	IBCH	Haliplidae	Insecta	Coleoptera	1.842	1.116	0.000	0.234	0.130	0.000	0.000	2.128	0.000	4.551	10.000
68	IBCH	Helophoridae	Insecta	Coleoptera	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
69	IBCH	Hydraenidae	Insecta	Coleoptera	7.084	0.000	0.000	0.252	0.243	0.000	0.028	2.336	0.000	0.056	10.000
71	IBCH	Hydrophilidae	Insecta	Coleoptera	1.043	0.000	0.000	0.772	1.348	0.000	0.000	6.467	0.000	0.370	10.000
75	IBCH	Psephenidae_(=Eubriidae)	Insecta	Coleoptera	7.500	0.000	0.000	2.500	0.000	0.000	0.000	0.000	0.000	0.000	10.000
76	IBCH	Scirtidae_(=Helodidae)	Insecta	Coleoptera	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
79	IBCH	Lepidoptera	Insecta	Lepidoptera	0.000	3.636	0.000	6.364	0.000	0.000	0.000	0.000	0.000	0.000	10.000
80	IBCH	Anthomyiidae	Insecta	Diptera	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
81	IBCH	Athericidae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
82	IBCH	Blephariceridae	Insecta	Diptera	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
83	IBCH	Ceratopogonidae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
84	IBCH	Chaoboridae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
85	IBCH	Chironomidae	Insecta	Diptera	2.989	0.100	0.052	0.172	4.009	0.605	0.132	1.699	0.186	0.057	10.000
87	IBCH	Dixidae	Insecta	Diptera	0.000	0.000	0.000	0.000	4.286	0.000	5.714	0.000	0.000	0.000	10.000
88	IBCH	Dolichopodidae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
89	IBCH	Empididae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
91	IBCH	Limoniidae	Insecta	Diptera	1.231	0.000	0.000	3.846	3.385	0.000	0.000	1.538	0.000	0.000	10.000
92	IBCH	Psychodidae	Insecta	Diptera	5.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	0.000	10.000
93	IBCH	Ptychopteridae	Insecta	Diptera	0.000	0.000	0.000	1.667	8.333	0.000	0.000	0.000	0.000	0.000	10.000
94	IBCH	Rhagionidae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
95	IBCH	Scatophagidae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
96	IBCH	Sciomyzidae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
97	IBCH	Simuliidae	Insecta	Diptera	0.311	0.000	0.000	0.000	0.000	0.000	9.689	0.000	0.000	0.000	10.000
98	IBCH	Stratiomyidae	Insecta	Diptera	2.857	0.000	0.000	0.000	6.000	0.429	0.714	0.000	0.000	0.000	10.000
99	IBCH	Syrphidae	Insecta	Diptera	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	10.000
100	IBCH	Tabanidae	Insecta	Diptera	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	10.000
101	IBCH	Thaumaleidae	Insecta	Diptera	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
102	IBCH	Tipulidae	Insecta	Diptera	0.000	0.000	0.200	7.600	2.200	0.000	0.000	0.000	0.000	0.000	10.000
NA	IBCH	Culicidae	Insecta	Diptera	2.593	0.000	0.000	0.000	0.000	5.000	0.000	2.407	0.000	0.000	10.000
NA	IBCH	Ephydridae	Insecta	Diptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NA	IBCH	Curculionidae	Insecta	Coleoptera	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
NA	IBCH	Hymenoptera	Hymenoptera	Hymenoptera	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	10.000
NA	IBCH	Cnidaria 	Cnidaria	Cnidaria 	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
