x	y
637769	266108
637886	266046
637945	266031
638013	266028
638029	266028
638140	266036
638250	266067
638319	266119
638396	266195
638481	266323
638562	266522
638585	266594
638598	266673
638608	266788
638620	266958
638636	267101
638648	267160
638667	267207
638732	267300
638799	267368
638846	267407
638945	267488
638981	267508
639045	267542
639141	267576
639213	267597
639311	267608
639404	267597
639484	267571
639599	267519
639745	267451
639843	267417
639959	267383
640085	267357
640201	267339
640301	267327
640393	267319
640523	267309
640624	267306
640679	267307
640724	267307
640793	267305
640915	267303
640974	267308
641019	267315
641131	267331
641235	267344
641287	267354
641339	267370
641390	267379
641436	267389
641485	267398
641537	267407
641634	267423
641689	267430
641904	267457
642050	267469
642134	267464
642209	267454
642297	267441
642403	267419
642492	267397
642651	267351
642731	267323
642815	267285
642863	267256
642872	267248
643062	267072
643180	266982
643305	266907
643457	266857
643540	266832
643627	266812
643800	266790
643880	266790
643980	266812
644047	266842
644175	266922
644257	266958
644467	267005
644580	267011
644619	267017
644807	267051
644969	267081
645027	267094
645090	267107
645191	267128
645263	267150
645331	267175
645350	267183
645456	267235
645548	267280
645598	267302
645709	267346
645722	267350
645785	267387
645810	267405
645873	267460
645922	267512
645966	267553
645999	267577
646029	267608
646062	267630
646085	267657
646224	267736
646244	267763
646277	267794
646297	267819
646337	267859
646359	267882
646382	267899
646418	267938
646459	267961
646503	267993
646524	268012
646587	268063
646624	268090
646640	268122
646646	268147
646647	268182
646659	268207
646675	268234
646695	268250
646700	268262
646716	268279
646735	268287
646741	268300
646779	268300
646795	268297
646828	268281
646865	268269
646894	268259
646929	268240
646962	268237
647029	268261
647118	268305
647168	268342
647222	268361
647296	268392
647382	268405
647448	268394
647516	268383
647554	268371
647604	268350
647652	268319
647687	268289
647716	268259
647823	268133
647857	268102
647912	268036
647993	267961
648074	267892
648140	267840
648182	267801
648272	267742
648368	267685
648438	267655
648515	267629
648650	267618
648715	267625
648797	267630
648887	267631
648943	267642
649041	267665
649124	267704
649199	267746
649325	267836
649470	267934
649554	268000
649606	268055
649692	268149
649753	268255
649797	268367
649823	268423
649858	268523
649886	268625
649896	268709
649914	268793
649921	268870
649929	268921
649938	268988
649931	269030
649934	269074
649947	269146
649948	269325
649951	269470
649961	269578
649971	269640
649999	269732
650032	269812
650059	269860
650094	269937
650120	269984
650192	270094
650224	270142
650264	270190
650316	270240
650422	270358
650491	270423
650528	270451
650610	270501
650652	270519
650702	270535
650767	270548
650878	270568
650981	270577
651084	270580
651177	270579
651261	270570
651353	270552
651427	270539
651487	270533
651533	270525
651719	270517
651741	270517
651771	270518
651833	270520
651884	270524
651948	270531
652008	270535
652053	270536
652102	270534
652183	270526
652237	270523
652277	270524
652316	270528
652347	270534
652394	270546
652425	270557
652450	270567
652466	270575
652477	270582
652505	270601
652533	270625
652558	270653
652576	270678
652585	270695
652603	270732
652613	270766
652621	270818
652621	270861
652618	270889
652595	271002
652580	271055
652575	271107
652592	271202
652607	271232
652647	271287
652725	271367
652887	271497
653032	271600
653102	271675
653147	271732
653230	271817
653357	271917
653400	271930
653540	271947
653595	271940
653637	271942
653765	271930
653910	271855
654051	271778
654219	271713
654294	271693
654415	271694
654525	271716
654625	271758
654872	271934
655072	272211
655132	272341
655155	272375
655250	272525
655421	272675
655507	272712
655610	272751
655788	272780
655941	272838
656041	272898
656097	272942
656140	272992
656214	273092
656275	273200
656323	273298
656368	273410
656408	273496
656470	273655
656514	273829
656588	274010
656761	274253
656829	274337
656922	274446
657021	274532
657176	274603
657356	274700
657482	274736
657635	274766
657756	274775
657916	274765
658115	274726
658263	274678
658370	274632
658486	274569
658563	274525
658660	274449
658726	274385
658791	274310
658865	274185
658932	273923
658980	273728
658995	273600
659004	273530
659028	273332
659053	273224
659062	273210
659145	273079
659208	273027
659277	273002
659332	273013
659410	273047
659554	273162
659619	273236
659691	273331
659759	273413
659806	273466
659856	273519
659908	273599
659934	273636
659972	273733
660000	273775
660055	273829
660077	273848
660162	273883
660187	273886
660236	273883
660279	273875
660386	273850
660479	273842
660602	273842
660624	273846
660676	273860
660811	273906
660931	273950
661113	274030
661153	274058
661206	274089
661242	274103
661374	274144
661423	274155
661546	274171
661634	274181
661675	274180
661718	274163
661776	274127
661799	274106
661860	273976
661904	273807
661953	273703
661978	273630
662008	273571
662036	273549
662070	273530
662126	273515
662183	273509
662283	273513
662344	273532
662413	273556
662523	273583
662577	273590
662652	273608
662706	273631
662830	273683
662946	273736
663055	273775
663164	273782
663259	273780
663311	273778
663405	273764
663562	273743
663694	273711
663808	273673
663933	273623
664046	273566
664147	273510
664247	273456
664318	273407
664398	273342
664487	273260
664562	273185
664585	273139
664601	273081
664607	273045
664609	272998
664603	272953
664583	272865
664559	272765
664546	272662
664530	272532
664509	272419
664473	272209
664457	272128
664439	272038
664430	271901
664435	271752
664460	271647
664505	271544
664529	271484
664580	271384
664596	271353
664705	271199
664779	271117
664846	271061
664906	271012
664972	270962
665036	270915
665106	270886
665180	270854
665262	270829
665380	270792
665452	270764
665504	270736
665568	270695
665638	270642
665711	270575
665822	270462
665890	270375
665939	270312
665984	270248
666042	270165
666133	270031
666253	269865
666281	269825
666350	269743
666429	269661
666511	269584
666564	269537
666635	269489
666767	269420
666845	269381
666909	269348
667053	269295
667180	269272
667332	269252
667506	269241
667627	269253
667671	269239
667818	269242
667879	269246
668115	269274
668344	269298
668597	269286
668727	269269
668910	269252
669000	269245
669129	269238
669195	269238
669336	269205
669377	269192
669465	269149
669614	269100
669724	269078
669862	269082
670040	269070
670140	269047
670262	269027
670431	268975
670680	268910
670847	268837
671035	268745
671117	268740
671186	268770
671261	268849
671323	268968
671368	269107
671371	269145
671406	269275
671466	269415
671653	269702
671739	269791
671911	269953
671979	270000
672085	270042
672220	270055
672334	270032
672418	269989
672562	269929
672685	269884
672796	269824
672873	269785
672908	269763
673131	269602
673345	269448
673535	269350
673560	269337
673770	269264
673860	269236
674014	269164
674148	269106
674280	269040
674373	268988
674449	268956
674510	268935
674545	268926
674611	268912
674682	268902
674752	268900
674812	268902
674858	268907
674923	268918
674983	268930
675048	268942
675125	268957
675170	268967
675224	268983
675278	269002
675351	269034
675447	269079
675498	269104
675550	269128
675598	269151
675650	269174
675821	269256
675950	269321
676014	269357
676077	269391
676104	269404
676150	269422
676208	269438
676258	269448
676323	269467
676379	269493
676471	269539
676545	269570
676570	269578
676596	269582
676612	269582
676645	269579
676721	269568
676912	269539
676965	269534
677017	269535
677115	269545
677163	269558
677200	269570
677233	269582
677279	269602
677327	269625
677394	269661
677440	269689
677491	269721
677691	269871
677758	269927
677944	270087
677976	270114
678026	270153
678058	270172
678095	270188
678125	270198
678156	270207
678199	270215
678247	270218
678297	270212
678336	270204
678575	270127
678590	270124
678601	270122
678630	270119
678635	270119
678652	270119
678669	270120
678701	270121
678740	270127
678772	270137
678800	270147
678843	270172
678866	270189
678898	270217
678948	270267
679027	270348
679066	270383
679108	270415
679128	270430
679153	270447
679208	270480
679229	270493
679256	270507
679299	270530
679310	270535
679336	270547
679415	270574
679422	270575
679452	270580
679432	270620
679412	270705
679377	270755
679307	270872
679235	270977
679167	271092
679085	271207
679032	271262
678985	271332
678925	271300
678877	271282
678797	271255
678655	271225
678577	271212
678482	271130
678442	271060
678415	271020
678332	271010
678300	271027
678195	270992
678140	270990
677987	270947
677920	270932
677855	270927
677750	270927
677675	270932
677612	270942
677587	270920
677515	270880
677482	270872
677407	270870
677347	270905
677305	271022
677243	271168
677191	271304
677049	271303
677024	271315
677016	271363
676866	271353
676849	271493
676870	271492
676880	271670
676910	271835
676872	271895
676805	272107
676765	272197
676702	272282
676670	272312
676630	272335
676590	272350
676550	272632
676555	272902
676742	272872
676895	272875
677127	272912
677292	272977
677397	273047
677442	273085
677410	273147
677417	273182
677417	273220
677412	273252
677480	273265
677557	273260
677580	273305
677630	273372
677657	273387
677655	273435
677597	273497
677582	273527
677562	273587
677575	273615
677830	273597
677855	273582
677925	273522
678010	273655
678050	273727
678130	273845
678155	273882
678165	273992
678190	274025
678192	274137
678185	274152
678142	274170
678232	274352
678260	274330
678300	274342
678355	274305
678432	274247
678500	274207
678537	274192
678612	274247
678640	274307
678820	274270
678925	274347
679157	274315
679282	274292
679330	274302
