river_nr	x	y	river
1	552123	187727	rhine
1	552150	187743	rhine
1	552179	187755	rhine
1	552209	187766	rhine
1	552234	187787	rhine
1	552269	187825	rhine
1	552286	187823	rhine
1	552311	187844	rhine
1	552353	187873	rhine
1	552410	187902	rhine
1	552426	187923	rhine
1	552437	187922	rhine
1	552489	187895	rhine
1	552514	187894	rhine
1	552523	187892	rhine
1	552539	187886	rhine
1	552583	187859	rhine
1	552601	187852	rhine
1	552614	187849	rhine
1	552625	187849	rhine
1	552639	187853	rhine
1	552661	187863	rhine
1	552683	187868	rhine
1	552698	187874	rhine
1	552711	187882	rhine
1	552757	187904	rhine
1	552773	187916	rhine
1	552785	187936	rhine
1	552791	187946	rhine
1	552801	187954	rhine
1	552808	187956	rhine
1	552821	187954	rhine
1	552834	187956	rhine
1	552838	187959	rhine
1	552843	187960	rhine
1	552850	187962	rhine
1	552860	187964	rhine
1	552880	187957	rhine
1	552890	187954	rhine
1	552903	187952	rhine
1	552906	187952	rhine
1	552918	187952	rhine
1	552939	187956	rhine
1	552941	187956	rhine
1	552970	187957	rhine
1	553004	187972	rhine
1	553018	187992	rhine
1	553030	187998	rhine
1	553044	188016	rhine
1	553049	188052	rhine
1	553041	188069	rhine
1	553041	188091	rhine
1	553045	188107	rhine
1	553074	188130	rhine
1	553095	188143	rhine
1	553115	188142	rhine
1	553137	188149	rhine
1	553145	188163	rhine
1	553162	188175	rhine
1	553243	188206	rhine
1	553295	188225	rhine
1	553332	188246	rhine
1	553344	188254	rhine
1	553357	188265	rhine
1	553387	188290	rhine
1	553430	188304	rhine
1	553453	188303	rhine
1	553494	188291	rhine
1	553536	188276	rhine
1	553550	188278	rhine
1	553563	188285	rhine
1	553577	188301	rhine
1	553584	188310	rhine
1	553602	188313	rhine
1	553617	188315	rhine
1	553649	188345	rhine
1	553679	188354	rhine
1	553694	188368	rhine
1	553697	188378	rhine
1	553697	188386	rhine
1	553691	188394	rhine
1	553684	188409	rhine
1	553684	188420	rhine
1	553688	188432	rhine
1	553691	188437	rhine
1	553705	188444	rhine
1	553729	188437	rhine
1	553741	188436	rhine
1	553749	188436	rhine
1	553768	188424	rhine
1	553777	188424	rhine
1	553791	188439	rhine
1	553801	188451	rhine
1	553810	188456	rhine
1	553831	188461	rhine
1	553858	188473	rhine
1	553881	188496	rhine
1	553899	188505	rhine
1	553920	188516	rhine
1	553936	188534	rhine
1	553943	188552	rhine
1	553946	188569	rhine
1	553944	188596	rhine
1	553940	188613	rhine
1	553941	188628	rhine
1	553944	188641	rhine
1	553950	188650	rhine
1	553961	188647	rhine
1	553964	188636	rhine
1	553974	188636	rhine
1	554005	188654	rhine
1	554077	188686	rhine
1	554092	188697	rhine
1	554098	188707	rhine
1	554098	188723	rhine
1	554102	188729	rhine
1	554112	188731	rhine
1	554127	188734	rhine
1	554132	188741	rhine
1	554163	188779	rhine
1	554191	188803	rhine
1	554222	188825	rhine
1	554230	188834	rhine
1	554232	188841	rhine
1	554234	188874	rhine
1	554240	188887	rhine
1	554247	188890	rhine
1	554254	188888	rhine
1	554267	188880	rhine
1	554272	188880	rhine
1	554287	188894	rhine
1	554270	188903	rhine
1	554231	188905	rhine
1	554210	188914	rhine
1	554236	188963	rhine
1	554253	188996	rhine
1	554267	188988	rhine
1	554264	188982	rhine
1	554309	188958	rhine
1	554325	188949	rhine
1	554327	188955	rhine
1	554331	188975	rhine
1	554338	188989	rhine
1	554342	189007	rhine
1	554353	189027	rhine
1	554354	189034	rhine
1	554353	189041	rhine
1	554347	189047	rhine
1	554342	189053	rhine
1	554340	189056	rhine
1	554342	189069	rhine
1	554341	189080	rhine
1	554337	189089	rhine
1	554274	189121	rhine
1	554227	189144	rhine
1	554201	189157	rhine
1	554237	189234	rhine
1	554325	189200	rhine
1	554357	189188	rhine
1	554366	189201	rhine
1	554380	189208	rhine
1	554394	189209	rhine
1	554404	189204	rhine
1	554411	189196	rhine
1	554419	189197	rhine
1	554437	189202	rhine
1	554472	189253	rhine
1	554492	189277	rhine
1	554497	189274	rhine
1	554514	189264	rhine
1	554520	189265	rhine
1	554528	189273	rhine
1	554534	189280	rhine
1	554540	189286	rhine
1	554550	189287	rhine
1	554559	189280	rhine
1	554576	189264	rhine
1	554584	189253	rhine
1	554585	189245	rhine
1	554558	189214	rhine
1	554538	189201	rhine
1	554537	189198	rhine
1	554539	189189	rhine
1	554541	189185	rhine
1	554529	189177	rhine
1	554526	189170	rhine
1	554526	189164	rhine
1	554530	189162	rhine
1	554535	189164	rhine
1	554546	189175	rhine
1	554553	189176	rhine
1	554565	189179	rhine
1	554573	189185	rhine
1	554599	189208	rhine
1	554610	189215	rhine
1	554617	189214	rhine
1	554633	189192	rhine
1	554643	189183	rhine
1	554652	189177	rhine
1	554657	189179	rhine
1	554662	189185	rhine
1	554659	189190	rhine
1	554650	189194	rhine
1	554641	189203	rhine
