#######river number and name
#1 Orbe
#2 Talent
#3 Mentue
#4 Areuse
#5 
#6 
#7 Broye
#8 Suze
#9 La jogne
#10 Sarine
#11 Glane
#12 Aare
#13 Guerbe
#14 Simme
#15 Kander
#16 Aare
#17 Luetschine
#18 Schwarze Luetschine
#19 Aare
#20 Rhein
#21 Rhein
#22 Vorderrhein
#23 Sense
#24 Landquart
#25 Birs
#26 La Sorne
#27 Scheulte
#28 Ergolz
#29 Sissle
#30 Aare
#31 Langete
#32 Wigger
#33 Suhr
#34 Aa
#35 Grosse Emme
#36 Ilfis
#37 Kleine Emme
#38 Sitter
#39 Entlen
#40 Reuss
#41 Sarner Aa
#42 Aa
#43 Reuss
#44 Schaechen
#45 Muota
#46 Sihl
#47 Glatt
#48 Limmat
#49 Thur
#50 Murg
#51 Toess
#52 Linth
#53 Waegitaler Aa
#54 Linth
#55 Sernf
#56 Hinterrhein
#57 Landwasser
#58 Albula
#59 Ragn da Ferrera
#60 Vispa
#61 Drance
#62 La Borgne
#63 La Liene
#64 La Vieze
#65 Grande Eau
#66 Venoge
#67 Rhone
#68 Rhone
#69 Doubs
#70 Ticino
#71 Moesa
#72 Diveria
#73 Cassarate
#74 Maggia
#75 Mera
#76 Poschiavino
#77 Flaz
#78 Spoel
#79 En
#80 Breggia			
#81 Faloppia			
#82 Etsch			
#83 Etsch			
#############################			
river_nr	x	y	river
1	522028	175017	rhine
1	522038	175018	rhine
1	522045	175019	rhine
1	522056	175014	rhine
1	522084	175000	rhine
1	522122	174988	rhine
1	522147	174970	rhine
1	522170	174945	rhine
1	522183	174930	rhine
1	522200	174927	rhine
1	522221	174936	rhine
1	522230	174956	rhine
1	522228	174974	rhine
1	522239	174994	rhine
1	522263	175021	rhine
1	522266	175022	rhine
1	522298	175040	rhine
1	522312	175052	rhine
1	522340	175084	rhine
1	522361	175098	rhine
1	522457	175089	rhine
1	522522	175104	rhine
1	522591	175129	rhine
1	522635	175151	rhine
1	522645	175161	rhine
1	522698	175210	rhine
1	522720	175228	rhine
1	522746	175242	rhine
1	522762	175245	rhine
1	522795	175244	rhine
1	522867	175233	rhine
1	522895	175233	rhine
1	522912	175239	rhine
1	522930	175254	rhine
1	522948	175282	rhine
1	522988	175356	rhine
1	523020	175407	rhine
1	523054	175447	rhine
1	523070	175473	rhine
1	523091	175495	rhine
1	523117	175512	rhine
1	523133	175526	rhine
1	523168	175534	rhine
1	523182	175546	rhine
1	523195	175565	rhine
1	523218	175618	rhine
1	523249	175642	rhine
1	523266	175683	rhine
1	523274	175704	rhine
1	523308	175733	rhine
1	523339	175775	rhine
1	523355	175789	rhine
1	523381	175815	rhine
1	523426	175835	rhine
1	523461	175847	rhine
1	523500	175872	rhine
1	523548	175900	rhine
1	523584	175915	rhine
1	523620	175937	rhine
1	523633	175939	rhine
1	523647	175936	rhine
1	523659	175934	rhine
1	523671	175939	rhine
1	523687	175949	rhine
1	523719	175956	rhine
1	523826	175972	rhine
1	523860	175982	rhine
1	523887	175994	rhine
1	523941	175998	rhine
1	523970	176000	rhine
1	524030	175997	rhine
1	524095	175992	rhine
1	524127	175995	rhine
1	524154	175990	rhine
1	524186	175976	rhine
1	524200	175967	rhine
1	524214	175959	rhine
1	524232	175953	rhine
1	524288	175934	rhine
1	524320	175917	rhine
1	524348	175898	rhine
1	524382	175874	rhine
1	524431	175837	rhine
1	524460	175807	rhine
1	524468	175795	rhine
1	524474	175770	rhine
1	524485	175757	rhine
1	524500	175748	rhine
1	524520	175743	rhine
1	524530	175742	rhine
1	524552	175742	rhine
1	524589	175734	rhine
1	524622	175718	rhine
1	524652	175710	rhine
1	524684	175719	rhine
1	524719	175738	rhine
1	524762	175760	rhine
1	524797	175773	rhine
1	524801	175776	rhine
1	524816	175793	rhine
1	524823	175811	rhine
1	524833	175831	rhine
1	524843	175837	rhine
1	524885	175873	rhine
1	524905	175895	rhine
1	524919	175920	rhine
1	524931	175937	rhine
1	524944	175945	rhine
1	524954	175958	rhine
1	524979	175978	rhine
1	524995	175996	rhine
1	525008	176019	rhine
1	525024	176030	rhine
1	525052	176032	rhine
1	525084	176030	rhine
1	525089	176030	rhine
1	525106	176026	rhine
1	525128	176021	rhine
1	525157	176011	rhine
1	525173	176010	rhine
1	525206	176012	rhine
1	525219	176008	rhine
1	525231	175999	rhine
1	525238	175993	rhine
1	525246	175983	rhine
1	525257	175965	rhine
1	525274	175950	rhine
1	525280	175945	rhine
1	525318	175914	rhine
1	525340	175896	rhine
1	525364	175878	rhine
1	525392	175865	rhine
1	525423	175857	rhine
1	525452	175852	rhine
1	525471	175860	rhine
1	525499	175857	rhine
1	525525	175858	rhine
1	525551	175857	rhine
1	525575	175859	rhine
1	525591	175869	rhine
1	525606	175877	rhine
1	525628	175874	rhine
1	525638	175870	rhine
1	525661	175860	rhine
1	525690	175847	rhine
1	525775	175817	rhine
1	525821	175808	rhine
1	525845	175809	rhine
1	525879	175814	rhine
1	525923	175826	rhine
1	525945	175833	rhine
1	525966	175829	rhine
1	525989	175812	rhine
1	526017	175781	rhine
1	526047	175745	rhine
1	526053	175731	rhine
1	526054	175708	rhine
1	526056	175681	rhine
1	526064	175658	rhine
1	526072	175633	rhine
1	526075	175614	rhine
1	526087	175604	rhine
1	526098	175592	rhine
1	526114	175585	rhine
1	526155	175571	rhine
1	526178	175558	rhine
1	526215	175541	rhine
1	526260	175525	rhine
1	526292	175510	rhine
1	526337	175485	rhine
1	526385	175465	rhine
1	526433	175450	rhine
1	526474	175445	rhine
1	526494	175437	rhine
1	526523	175421	rhine
1	526546	175410	rhine
1	526571	175406	rhine
1	526607	175394	rhine
1	526623	175395	rhine
1	526655	175402	rhine
1	526681	175403	rhine
1	526707	175401	rhine
1	526739	175404	rhine
1	526757	175404	rhine
1	526775	175402	rhine
1	526788	175396	rhine
1	526805	175385	rhine
1	526828	175377	rhine
1	526854	175374	rhine
1	526871	175378	rhine
1	526892	175390	rhine
1	526916	175399	rhine
1	526933	175400	rhine
1	526946	175401	rhine
1	527011	175385	rhine
1	527045	175380	rhine
1	527081	175380	rhine
1	527116	175385	rhine
1	527130	175393	rhine
1	527146	175395	rhine
1	527163	175403	rhine
1	527190	175426	rhine
1	527193	175428	rhine
1	527207	175438	rhine
1	527239	175454	rhine
1	527252	175466	rhine
1	527259	175482	rhine
1	527263	175499	rhine
1	527266	175521	rhine
1	527275	175545	rhine
1	527288	175578	rhine
1	527294	175604	rhine
1	527314	175626	rhine
1	527335	175642	rhine
1	527357	175649	rhine
1	527388	175664	rhine
1	527405	175665	rhine
1	527423	175666	rhine
1	527444	175660	rhine
1	527464	175656	rhine
1	527484	175656	rhine
1	527515	175658	rhine
1	527544	175665	rhine
1	527561	175668	rhine
1	527574	175662	rhine
1	527593	175654	rhine
1	527619	175653	rhine
1	527665	175658	rhine
1	527694	175668	rhine
1	527728	175688	rhine
1	527746	175701	rhine
1	527761	175704	rhine
1	527780	175705	rhine
1	527785	175703	rhine
1	527805	175702	rhine
1	527820	175698	rhine
1	527837	175688	rhine
1	527848	175687	rhine
1	527867	175687	rhine
1	527886	175678	rhine
1	527905	175663	rhine
1	527914	175651	rhine
1	527920	175641	rhine
1	527935	175629	rhine
1	527975	175614	rhine
1	527996	175602	rhine
1	528010	175584	rhine
1	528022	175573	rhine
1	528027	175563	rhine
