FID,FID_1,locality,xkoord,ykoord,OBJECTID_1,OBJECTID,EZGNR,TEILEZGNR,GWLNR,MEASURE,GEWISSNR,CH,SEE,H1,H2,KANAL,FLUSSGB,RELEASE,MUTATION,HIERARCHIE,INTERNS,POLY_ID,tezgnr40,tezgnr150,tezgnr1000,Shape_Leng,Shape_Le_1,Shape_Area
137,349,"572,163","572,852","163,000","5,277","5,277","168,030","68,030",CH0092760005,0,"9,276",1,0,"22,845.000000000000000","22,846.000000000000000",0,20,"2,012","2,010",2492598,1.000000000000000,"74,487","106,946","120,868","130,751","7,585.296195320000200","7,585.296195320000200","2,145,385.223129999800000"
138,220,"536,163","536,301","164,000","5,279","5,279","114,815","14,815",CH0032340000,0,"3,234",1,0,"21,301.000000000000000","21,310.000000000000000",0,20,"2,012","2,010",24888641,1.000000000000000,"70,718","106,055","120,811","130,069","11,640.813792299999000","11,640.813792299999000","3,752,723.226230000100000"
139,386,"644,211","644,879","212,000","5,354","5,354","133,091","33,091",CH0027600000,"3,922","2,760",1,0,"12,488.000000000000000","12,493.000000000000000",0,30,"2,012","2,010",2464383,1.000000000000000,"73,280","104,592","120,426","130,740","5,580.036804239999600","5,580.036804239999600","1,331,633.362410000100000"
140,113,"788,179","788,000","179,433","5,621","5,621","173,842","73,842",CH0033600000,0,"3,360",1,0,"34,366.000000000000000","34,367.000000000000000",0,10,"2,012","2,010",282664,1.000000000000000,"20,863","105,001","120,991","130,308","10,547.255651300000000","10,547.255651300000000","4,321,799.264030000200000"
141,211,"794,179","794,532","180,000","5,646","5,646","176,122","76,122",CH0052810000,"7,541","5,281",1,0,691.000000000000000,700.000000000000000,0,80,"2,012","2,010",83853,1.000000000000000,"68,498","109,672","120,379","130,654","4,081.179895730000200","4,081.179895730000200","837,425.984497000000000"
142,116,"818,179","819,000","179,956","5,659","5,659","131,223","31,223",CH0000450000,"6,466",45,1,0,348.000000000000000,441.000000000000000,0,80,"2,012","2,010",8215,1.000000000000000,"6,328","100,084","120,116","130,654","10,636.913638300000000","10,636.913638300000000","4,934,553.087020000400000"
143,294,"710,179","710,000","179,995","5,682","5,682","158,345","58,345",CH0035200000,"5,123","3,520",1,0,"36,596.000000000000000","36,647.000000000000000",0,10,"2,012","2,010",297815,1.000000000000000,"10,336","103,406","120,304","130,577","5,332.267437339999600","5,332.267437339999600","773,472.215464000010000"
144,429,"746,179","746,919","180,000","5,697","5,697","145,730","45,730",CH0003200000,"6,192",320,1,0,"35,472.000000000000000","35,610.000000000000000",0,10,"2,012","2,010",29215,1.000000000000000,"25,222","100,365","120,076","130,577","11,967.108159699999000","11,967.108159699999000","5,422,892.104919999800000"
145,69,"668,179","668,000","179,480","5,764","5,764","135,784","35,784",CH0018860000,0,"1,886",1,0,"26,799.000000000000000","26,800.000000000000000",0,20,"2,012","2,010",249822,1.000000000000000,"47,369","105,785","120,706","130,336","8,549.366278100000300","8,549.366278100000300","3,359,335.366330000100000"
146,440,"776,179","776,000","179,864","5,779","5,779","145,184","45,184",CH0033460000,0,"3,346",1,0,"34,246.000000000000000","34,247.000000000000000",0,10,"2,012","2,010",282634,1.000000000000000,"23,876","109,676","120,534","130,308","12,598.764258100000000","12,598.764258100000000","7,086,024.291489999700000"
147,179,"704,179","704,442","180,000","5,838","5,838","161,699","61,699",CH0007360000,"2,902",736,1,0,"14,817.000000000000000","14,826.000000000000000",0,30,"2,012","2,010",2469683,1.000000000000000,761,"104,042","120,672","130,593","8,314.275241560000700","8,314.275241560000700","4,131,182.497779999900000"
148,323,"770,179","770,000","179,372","5,878","5,878","132,498","32,498",CH0026980000,"4,439","2,698",1,0,"33,388.000000000000000","33,393.000000000000000",0,10,"2,012","2,010",27885,1.000000000000000,"20,291","100,382","120,975","130,005","8,185.639403989999700","8,185.639403989999700","3,235,788.001439999800000"
149,95,"728,179","729,000","179,796","5,900","5,900","110,643","10,643",CH0003640000,"2,679",364,1,0,"36,314.000000000000000","36,323.000000000000000",0,10,"2,012","2,010",297145,1.000000000000000,"38,610","101,440","120,912","130,577","4,897.917843750000400","4,897.917843750000400","785,106.296861000010000"
150,196,"734,179","734,000","179,894","5,927","5,927","163,136","63,136",CH5230400000,0,"523,040",1,0,"35,734.000000000000000","35,735.000000000000000",0,10,"2,012","2,010",294142,1.000000000000000,"14,451","108,900","120,034","130,577","5,923.204919040000300","5,923.204919040000300","776,649.280855000020000"
151,399,"686,179","686,000","179,066","5,942","5,942","150,764","50,764",CH0043940000,"5,328","4,394",1,0,"14,920.000000000000000","14,925.000000000000000",0,30,"2,012","2,010",2469765,1.000000000000000,"67,807","108,097","120,498","130,593","10,130.460091299999000","10,130.460091299999000","4,892,783.169300000200000"
152,215,"824,179","824,000","179,061","5,960","5,960","103,445","3,445",CH0052560000,"3,402","5,256",1,0,383.000000000000000,390.000000000000000,0,80,"2,012","2,010",82671,1.000000000000000,"27,773","103,474","120,116","130,654","6,138.348326059999600","6,138.348326059999600","2,006,757.406669999900000"
153,279,"680,179","680,979","180,000","5,977","5,977","180,211","80,211",UR2110950000,0,"211,095",1,0,"14,973.000000000000000","14,974.000000000000000",0,30,"2,012","2,010",246978622,1.000000000000000,"49,074","103,304","120,615","130,593","6,301.260357940000200","6,301.260357940000200","1,706,454.199060000000000"
154,165,"674,179","675,000","179,132","6,053","6,053","108,292","8,292",CH0018960000,"3,820","1,896",1,0,"26,894.000000000000000","26,895.000000000000000",0,20,"2,012","2,010",249867,1.000000000000000,"69,771","102,931","120,706","130,336","9,990.496541880000200","9,990.496541880000200","5,033,920.941470000000000"
155,23,"725,174","725,019","175,000","6,086","6,086","195,111","95,111",CH0034980000,0,"3,498",1,0,"36,356.000000000000000","36,361.000000000000000",0,10,"2,012","2,010",297241,1.000000000000000,"70,524","100,822","120,912","130,577","8,771.913151209999300","8,771.913151209999300","3,218,782.950670000200000"
156,189,"722,171","722,000","171,010","6,094","6,094","196,546","96,546",CH0034970000,"9,501","3,497",1,0,"36,374.000000000000000","36,375.000000000000000",0,10,"2,012","2,010",29729,1.000000000000000,"14,158","100,822","120,912","130,577","8,145.572357709999800","8,145.572357709999800","2,395,122.443880000200000"
157,498,"662,179","662,000","179,332","6,138","6,138","174,551","74,551",BE1306310000,0,"130,631",1,0,"26,772.000000000000000","26,773.000000000000000",0,20,"2,012","2,010",2497948,1.000000000000000,"97,364","106,051","120,624","130,336","5,520.451986629999700","5,520.451986629999700","1,606,466.426930000100000"
158,330,"800,179","800,000","179,356","6,149","6,149","192,220","92,220",CH0052870000,0,"5,287",1,0,716.000000000000000,717.000000000000000,0,80,"2,012","2,010",8394,1.000000000000000,"64,492","106,498","120,379","130,654","8,841.096986950000400","8,841.096986950000400","2,546,032.496300000200000"
159,19,"713,174","713,194","174,927","6,204","6,204","165,246","65,246",GR5288710000,0,"528,871",1,0,"36,581.000000000000000","36,582.000000000000000",0,10,"2,012","2,010",29774,1.000000000000000,"96,318","102,600","120,304","130,577","8,848.202554819999900","8,848.202554819999900","2,918,910.612180000200000"
160,444,"824,171","824,000","171,175","6,319","6,319","144,201","44,201",CH0000450000,"18,577",45,1,0,419.000000000000000,430.000000000000000,0,80,"2,012","2,010",8297,1.000000000000000,"10,535","101,152","120,116","130,654","7,566.995037830000000","7,566.995037830000000","2,891,808.244340000200000"
161,318,"758,171","758,000","171,060","6,368","6,368","136,813","36,813",CH5212400000,0,"521,240",1,0,"33,637.000000000000000","33,638.000000000000000",0,10,"2,012","2,010",282182,1.000000000000000,"19,128","100,399","120,660","130,308","5,250.459640979999700","5,250.459640979999700","1,234,431.302750000000000"
162,89,"716,171","716,309","172,000","6,379","6,379","192,566","92,566",CH0005740000,"4,567",574,1,0,"36,485.000000000000000","36,574.000000000000000",0,10,"2,012","2,010",29763,1.000000000000000,"27,695","100,271","120,642","130,577","5,795.665675410000400","5,795.665675410000400","984,950.943396999970000"
163,332,"818,171","818,000","171,231","6,432","6,432","186,561","86,561",CH0053040000,0,"5,304",1,0,837.000000000000000,838.000000000000000,0,80,"2,012","2,010",84692,1.000000000000000,"65,769","103,283","120,078","130,654","7,121.957961780000000","7,121.957961780000000","2,347,099.668519999800000"
164,213,"812,171","812,000","171,836","6,434","6,434","164,624","64,624",CH0000490000,"3,471",49,1,0,810.000000000000000,855.000000000000000,0,80,"2,012","2,010",84631,1.000000000000000,"63,951","103,283","120,078","130,654","8,378.740985399999800","8,378.740985399999800","3,107,904.904709999900000"
165,441,"794,171","794,311","172,000","6,575","6,575","100,243",243,CH0053940000,0,"5,394",1,0,976.000000000000000,977.000000000000000,0,80,"2,012","2,010",85184,1.000000000000000,"94,827","108,293","120,805","130,379","4,382.881634260000300","4,382.881634260000300","795,986.513660999950000"
166,328,"788,171","788,000","171,115","6,591","6,591","130,035","30,035",CH0053990000,"1,878","5,399",1,0,"1,022.000000000000000","1,031.000000000000000",0,80,"2,012","2,010",85285,1.000000000000000,"6,206","106,988","120,297","130,379","5,117.418434870000100","5,117.418434870000100","1,419,072.501800000000000"
