#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
198	2010	770187	770176	188000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	7		
129	2010	782155	782974	155000	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
10013	2010	788179	788000	179433	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
95	2010	794163	794000	163314	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
66	2010	806131	806000	131059	ADDA	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
6123	2011	572131	572310	132000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6134	2011	584099	584000	99020	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	7		
6095	2011	584139	584000	139678	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6211	2011	590243	590000	243099	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
6109	2011	596147	596000	147838	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6605	2011	602131	602200	132000	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6619	2011	602171	602561	172000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	48		
6389	2011	602251	602799	252000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6158	2011	620123	621000	123794	RHONE	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
6654	2011	620203	620000	203936	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
6234	2011	620243	620000	243337	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
6693	2011	632211	632000	211770	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	4		
5653	2011	638195	638000	195540	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	8		
5664	2011	644179	644551	179000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
5679	2011	650203	650683	204000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
5729	2011	668235	668625	236000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
5744	2011	674219	674471	220000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
5976	2011	680123	680000	123425	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
5757	2011	686211	686000	211223	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
5633	2011	692211	692000	211204	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	8		
5871	2011	698219	698412	220000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
5922	2011	704219	704219	220000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
5946	2011	710243	710000	243657	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
5985	2011	716107	716000	107256	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
5993	2011	722131	722000	131993	TICINO	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	7		
6257	2011	722211	722044	212000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	2		
5968	2011	722251	722790	252000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	8		
6521	2011	728195	728654	196000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6535	2011	734179	734000	179894	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
6496	2011	734259	734000	259392	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
6551	2011	740203	740083	204000	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
